State,Influenza,logdeaths,Influenzahat
District of Columbia,0,2.746634199,1.615892
Vermont,0,1.763427994,1.615892
Wyoming,0,1.146128036,1.615892
Delaware,0.141894289,2.635483747,1.615892
Rhode Island,0.291235524,2.699837726,1.615892
North Dakota,0.291961331,0.77815125,1.615892
Idaho,0.402690813,1,1.615892
New Hampshire,0.403895098,2.167317335,1.615892
Maine,0.749295534,0.477121255,2.141614
New Mexico,0.814553859,2.294466226,2.141614
Minnesota,1.254823852,2.835690571,2.141614
West Virginia,1.293562424,1.113943352,2.141614
Nebraska,1.310659916,1.462397998,2.141614
Colorado,1.351311195,3.144262774,2.141614
Oklahoma,1.477620799,1.414973348,2.141614
Iowa,1.555318634,2.240549248,2.667336
South Carolina,1.579071671,2.7084209,2.667336
Louisiana,1.78130979,3.430397591,2.667336
Florida,1.851218098,3.14332713,2.667336
Arkansas,1.86513512,1.662757832,2.667336
Washington,1.885288412,2.324282455,2.667336
Indiana,1.930021365,3.255272505,2.667336
Arizona,1.977601125,3.065206128,2.667336
Connecticut,2.048413952,3.561697533,2.667336
Texas,2.089081541,3.333245699,2.667336
Wisconsin,2.148939115,2.307496038,2.667336
New Jersey,2.239493002,4.208333844,2.667336
Virginia,2.24110511,3.172602931,2.667336
Georgia,2.250841777,3.248463718,2.667336
Kentucky,2.295765273,1.73239376,2.667336
Michigan,2.301230885,3.834547858,2.667336
Ohio,2.34620699,3.173477643,2.667336
Nevada,2.394866377,1.51851394,2.667336
Maryland,2.553132542,3.5402043,3.193059
Alabama,2.581290348,2.721810615,3.193059
Pennsylvania,2.589181868,3.994625054,3.193059
Missouri,2.617595201,2.62838893,3.193059
Illinois,2.686851074,3.850891184,3.193059
North Carolina,2.77560824,2.57634135,3.193059
Mississippi,2.916969751,3.025715384,3.193059
California,2.955553289,3.57205799,3.193059
Tennessee,3.033407971,1.954242509,3.193059
Massachusetts,3.06216427,3.845532117,3.193059
Puerto Rico,3.19702119,1.748188027,3.193059
New York,3.250366773,4.07623982,3.193059
New York City,4.524112409,4.410456665,4.244503
Hawaii,4.637056202,1,4.244503