Row Labels,HF,Influenza,Cancer,Others,Renal,logdeaths,Sepsis,deaths,logdeaths,Influenzahat,Cancerhat,Othershat,Renalhat,Sepsishat
Delaware,0.043356588,0.141894289,40.69212881,0.00,0,2.635483747,1.865067,432,2.635483747,1.938595,2.138644,1.72,1.994907,2.006215
District of Columbia,0,0,55.69315445,0.00,0,2.746634199,1.865067,558,2.746634199,1.938595,1.41418,1.72,1.994907,2.006215
North Dakota,0,0.291961331,45.04638941,0.00,0,0.77815125,1.865067,6,0.77815125,1.938595,1.945454,1.72,1.994907,2.006215
Vermont,0,0,49.83383797,0.00,0,1.763427994,1.865067,58,1.763427994,1.938595,1.703966,1.72,1.994907,2.006215
Wyoming,0,0,64.61220879,0.00,0,1.146128036,1.865067,14,1.146128036,1.938595,0.979501,1.72,1.994907,2.006215
Rhode Island,0.130199411,0.291235524,38.30603714,0.04,0,2.699837726,1.865067,501,2.699837726,1.938595,2.283537,1.72,1.994907,2.006215
Hawaii,0.273106224,4.637056202,34.94609746,0.08,0,1,1.865067,10,1,3.704102,2.42843,1.72,1.994907,2.006215
New Mexico,0.926391918,0.814553859,32.46658838,0.23,0.184532797,2.294466226,2.131341,197,2.294466226,2.291697,2.573323,1.72,1.994907,2.006215
Nevada,0.710256007,2.394866377,29.24411679,0.29,0.088782001,1.51851394,2.131341,33,1.51851394,2.644798,2.718216,1.72,1.994907,2.006215
Maine,0.535821023,0.749295534,35.1549825,0.34,0,0.477121255,2.131341,3,0.477121255,2.291697,2.42843,1.72,1.994907,2.006215
New Hampshire,1.018036959,0.403895098,36.8042492,0.37,0,2.167317335,2.131341,147,2.167317335,1.938595,2.331835,1.72,1.994907,2.006215
Idaho,1.627057098,0.402690813,33.91215288,0.51,0,1,2.397614,10,1,1.938595,2.476728,2.14,1.994907,2.006215
West Virginia,2.11124111,1.293562424,30.2199319,0.89,1.110833585,1.113943352,2.397614,13,1.113943352,2.291697,2.669918,2.14,2.394621,2.006215
New York City,0.218341621,4.524112409,30.27315832,1.15,0.339539725,4.410456665,1.865067,25731,4.410456665,3.704102,2.669918,2.14,1.994907,2.006215
Nebraska,2.619555822,1.310659916,31.12067597,1.23,0,1.462397998,2.663888,29,1.462397998,2.291697,2.621621,2.14,1.994907,2.006215
Arkansas,3.668646832,1.86513512,26.42904681,1.48,2.280887706,1.662757832,2.930162,46,1.662757832,2.644798,2.863109,2.14,2.794334,2.519813
Oklahoma,2.491353258,1.477620799,27.40352146,1.57,0.66854496,1.414973348,2.397614,26,1.414973348,2.291697,2.814811,2.55,2.394621,2.006215
California,3.449988039,2.955553289,28.46306845,2.17,1.767118183,3.57205799,2.663888,3733,3.57205799,2.997899,2.766513,2.55,2.794334,2.519813
Michigan,4.654564112,2.301230885,27.12178195,2.40,2.401997345,3.834547858,3.196435,6832,3.834547858,2.644798,2.814811,2.55,2.794334,3.033411
Puerto Rico,1.151410478,3.19702119,23.77569781,2.44,3.756012406,1.748188027,2.131341,56,1.748188027,2.997899,2.959704,2.55,3.593761,3.547009
Florida,2.55520964,1.851218098,28.47532773,2.47,2.023225464,3.14332713,2.663888,1391,3.14332713,2.644798,2.766513,2.55,2.794334,3.033411
Maryland,2.272351898,2.553132542,28.47659185,2.54,1.986243347,3.5402043,2.397614,3469,3.5402043,2.997899,2.766513,2.96,2.794334,3.033411
Minnesota,3.453877754,1.254823852,30.93862816,2.65,1.046308975,2.835690571,2.663888,685,2.835690571,2.291697,2.621621,2.96,2.394621,2.006215
Arizona,1.593199561,1.977601125,28.7954309,2.72,0.927030225,3.065206128,2.397614,1162,3.065206128,2.644798,2.718216,2.96,2.394621,2.006215
Iowa,2.008654596,1.555318634,28.54672675,2.74,0.326115198,2.240549248,2.397614,174,2.240549248,2.644798,2.718216,2.96,1.994907,2.006215
Wisconsin,3.892389003,2.148939115,28.59288574,2.77,2.214555577,2.307496038,2.930162,203,2.307496038,2.644798,2.718216,2.96,2.794334,2.519813
Illinois,4.900795223,2.686851074,28.34871662,2.91,2.921503215,3.850891184,3.196435,7094,3.850891184,2.997899,2.766513,2.96,3.194047,3.033411
Tennessee,2.675503807,3.033407971,26.58414689,2.94,2.066815943,1.954242509,2.663888,90,1.954242509,2.997899,2.814811,2.96,2.794334,3.033411
Mississippi,5.999852885,2.916969751,25.99037212,2.97,2.72980638,3.025715384,3.462709,1061,3.025715384,2.997899,2.863109,2.96,3.194047,2.519813
South Carolina,3.696950057,1.579071671,27.47914252,3.05,2.368332885,2.7084209,2.930162,511,2.7084209,2.644798,2.814811,2.96,2.794334,3.033411
New York,3.347751303,3.250366773,27.1988668,3.09,2.316487074,4.07623982,2.663888,11919,4.07623982,2.997899,2.814811,2.96,2.794334,3.033411
Texas,3.660414802,2.089081541,26.80402507,3.09,2.754945151,3.333245699,2.930162,2154,3.333245699,2.644798,2.814811,2.96,3.194047,3.547009
Colorado,3.179555754,1.351311195,29.26899933,3.18,0.797117599,3.144262774,2.663888,1394,3.144262774,2.291697,2.718216,2.96,2.394621,2.519813
North Carolina,4.034779785,2.77560824,27.77931745,3.21,2.756012418,2.57634135,2.930162,377,2.57634135,2.997899,2.766513,2.96,3.194047,3.033411
Ohio,3.896428662,2.34620699,26.8378021,3.31,2.268007155,3.173477643,2.930162,1491,3.173477643,2.644798,2.814811,2.96,2.794334,3.033411
Indiana,3.845772702,1.930021365,26.55295568,3.31,2.835375401,3.255272505,2.930162,1800,3.255272505,2.644798,2.814811,2.96,3.194047,3.033411
Alabama,6.145787952,2.581290348,24.98663313,3.34,2.367420492,2.721810615,3.462709,527,2.721810615,2.997899,2.911406,2.96,2.794334,3.033411
Virginia,4.46146636,2.24110511,28.39334967,3.39,2.914896396,3.172602931,2.930162,1488,3.172602931,2.644798,2.766513,2.96,3.194047,3.033411
Washington,1.393077352,1.885288412,30.63809762,3.41,0.26315284,2.324282455,2.131341,211,2.324282455,2.644798,2.621621,2.96,1.994907,2.519813
Massachusetts,4.532214638,3.06216427,28.68713397,3.52,2.640009518,3.845532117,3.196435,7007,3.845532117,2.997899,2.718216,3.37,3.194047,3.033411
Louisiana,6.242940458,1.78130979,26.88273668,3.58,3.148267675,3.430397591,3.462709,2694,3.430397591,2.644798,2.814811,3.37,3.194047,3.547009
Pennsylvania,4.532168217,2.589181868,27.19568744,3.64,2.774547013,3.994625054,3.196435,9877,3.994625054,2.997899,2.814811,3.37,3.194047,3.033411
Georgia,5.273170202,2.250841777,27.00079135,3.67,3.003708474,3.248463718,3.196435,1772,3.248463718,2.644798,2.814811,3.37,3.194047,3.547009
Kentucky,4.375484195,2.295765273,27.82578808,3.69,2.681484391,1.73239376,2.930162,54,1.73239376,2.644798,2.766513,3.37,3.194047,3.033411
Missouri,4.904849725,2.617595201,27.0976633,3.70,3.141276372,2.62838893,3.196435,425,2.62838893,2.997899,2.814811,3.37,3.194047,3.033411
Connecticut,4.425564616,2.048413952,28.3627204,4.13,1.734192887,3.561697533,2.930162,3645,3.561697533,2.644798,2.766513,3.37,2.794334,3.033411
New Jersey,4.055913192,2.239493002,27.23147634,4.49,2.722906272,4.208333844,2.930162,16156,4.208333844,2.644798,2.814811,3.37,3.194047,3.547009
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,