State,deaths
New York City,25731
New Jersey,16156
New York,11919
Pennsylvania,9877
Illinois,7094
Massachusetts,7007
Michigan,6832
California,3733
Connecticut,3645
Maryland,3469
Louisiana,2694
Texas,2154
Indiana,1800
Georgia,1772
Ohio,1491
Virginia,1488
Colorado,1394
Florida,1391
Arizona,1162
Mississippi,1061
Minnesota,685
District of Columbia,558
Alabama,527
South Carolina,511
Rhode Island,501
Delaware,432
Missouri,425
North Carolina,377
Washington,211
Wisconsin,203
New Mexico,197
Iowa,174
New Hampshire,147
Tennessee,90
Vermont,58
Puerto Rico,56
Kentucky,54
Arkansas,46
Nevada,33
Nebraska,29
Oklahoma,26
Wyoming,14
West Virginia,13
Hawaii,10
Idaho,10
North Dakota,6
Maine,3
Montana,1
Oregon,1
Alaska,0
Kansas,0
South Dakota,0
Utah,0