State,Others,logdeaths,Othershat
Alabama,0,2.635483747,1.684898
Arizona,0,2.746634199,1.684898
Arkansas,0,0.77815125,1.684898
California,0,1.763427994,1.684898
Colorado,0,1.146128036,1.684898
Connecticut,0.041115603,2.699837726,1.684898
Delaware,0.077619664,1,1.684898
District of Columbia,0.227404052,2.294466226,1.684898
Florida,0.289946281,1.51851394,1.684898
Georgia,0.343693963,0.477121255,1.684898
Hawaii,0.367931836,2.167317335,1.684898
Idaho,0.507436978,1,2.105121
Illinois,0.889981464,1.113943352,2.105121
Indiana,1.145368336,4.410456665,2.105121
Iowa,1.229515426,1.462397998,2.105121
Kentucky,1.483891641,1.662757832,2.105121
Louisiana,1.567669712,1.414973348,2.525345
Maine,2.171109876,3.57205799,2.525345
Maryland,2.400145992,3.834547858,2.525345
Massachusetts,2.443033038,1.748188027,2.525345
Michigan,2.473611491,3.14332713,2.525345
Minnesota,2.544607893,3.5402043,2.945569
Mississippi,2.646582846,2.835690571,2.945569
Missouri,2.721220962,3.065206128,2.945569
Nebraska,2.736142344,2.240549248,2.945569
Nevada,2.7722955,2.307496038,2.945569
New Hampshire,2.913097048,3.850891184,2.945569
New Jersey,2.942051052,1.954242509,2.945569
New Mexico,2.965190882,3.025715384,2.945569
New York,3.045548666,2.7084209,2.945569
New York City,3.092527951,4.07623982,2.945569
North Carolina,3.094823959,3.333245699,2.945569
North Dakota,3.175841319,3.144262774,2.945569
Ohio,3.210915433,2.57634135,2.945569
Oklahoma,3.310671629,3.173477643,2.945569
Pennsylvania,3.31143941,3.255272505,2.945569
Puerto Rico,3.341716504,2.721810615,2.945569
Rhode Island,3.387011271,3.172602931,2.945569
South Carolina,3.408501565,2.324282455,2.945569
Tennessee,3.519572029,3.845532117,3.365792
Texas,3.57645052,3.430397591,3.365792
Vermont,3.639584354,3.994625054,3.365792
Virginia,3.673406055,3.248463718,3.365792
Washington,3.689155128,1.73239376,3.365792
West Virginia,3.703058185,2.62838893,3.365792
Wisconsin,4.133543953,3.561697533,3.365792
Wyoming,4.489674886,4.208333844,3.365792