State,Renal,logdeaths,Renalhat
Delaware,0,2.635483747,1.962626
District of Columbia,0,2.746634199,1.962626
Hawaii,0,1,1.962626
Idaho,0,1,1.962626
Maine,0,0.477121255,1.962626
Nebraska,0,1.462397998,1.962626
New Hampshire,0,2.167317335,1.962626
North Dakota,0,0.77815125,1.962626
Rhode Island,0,2.699837726,1.962626
Vermont,0,1.763427994,1.962626
Wyoming,0,1.146128036,1.962626
Nevada,0.088782001,1.51851394,1.962626
New Mexico,0.184532797,2.294466226,1.962626
Washington,0.26315284,2.324282455,1.962626
Iowa,0.326115198,2.240549248,1.962626
New York City,0.339539725,4.410456665,1.962626
Oklahoma,0.66854496,1.414973348,2.347593
Colorado,0.797117599,3.144262774,2.347593
Arizona,0.927030225,3.065206128,2.347593
Minnesota,1.046308975,2.835690571,2.347593
West Virginia,1.110833585,1.113943352,2.347593
Connecticut,1.734192887,3.561697533,2.732559
California,1.767118183,3.57205799,2.732559
Maryland,1.986243347,3.5402043,2.732559
Florida,2.023225464,3.14332713,2.732559
Tennessee,2.066815943,1.954242509,2.732559
Wisconsin,2.214555577,2.307496038,2.732559
Ohio,2.268007155,3.173477643,2.732559
Arkansas,2.280887706,1.662757832,2.732559
New York,2.316487074,4.07623982,2.732559
Alabama,2.367420492,2.721810615,2.732559
South Carolina,2.368332885,2.7084209,2.732559
Michigan,2.401997345,3.834547858,2.732559
Massachusetts,2.640009518,3.845532117,3.117526
Kentucky,2.681484391,1.73239376,3.117526
New Jersey,2.722906272,4.208333844,3.117526
Mississippi,2.72980638,3.025715384,3.117526
Texas,2.754945151,3.333245699,3.117526
North Carolina,2.756012418,2.57634135,3.117526
Pennsylvania,2.774547013,3.994625054,3.117526
Indiana,2.835375401,3.255272505,3.117526
Virginia,2.914896396,3.172602931,3.117526
Illinois,2.921503215,3.850891184,3.117526
Georgia,3.003708474,3.248463718,3.117526
Missouri,3.141276372,2.62838893,3.117526
Louisiana,3.148267675,3.430397591,3.117526
Puerto Rico,3.756012406,1.748188027,3.502493